VehicleID,Time,LaneID,Lateral,Longitudinal,Speed,Speed_kph,Acceleration,VehicleLength,Width,Gap,Headway
2,6.9,4,0.0,75.19999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.9,4,0.0,44.80000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.9,4,0.0,14.399999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.0,4,0.0,107.19999999999987,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.0,4,0.0,76.79999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.0,4,0.0,46.40000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.0,4,0.0,15.999999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.1000000000000005,4,0.0,108.79999999999987,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.1000000000000005,4,0.0,78.39999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.1000000000000005,4,0.0,48.00000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.1000000000000005,4,0.0,17.599999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.2,4,0.0,110.39999999999986,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.2,4,0.0,79.99999999999997,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.2,4,0.0,49.60000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.2,4,0.0,19.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.300000000000001,4,0.0,111.99999999999986,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.300000000000001,4,0.0,81.59999999999997,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.300000000000001,4,0.0,51.200000000000024,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.300000000000001,4,0.0,20.8,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.4,4,0.0,113.59999999999985,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.4,4,0.0,83.19999999999996,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.4,4,0.0,52.800000000000026,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.4,4,0.0,22.400000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.5,4,0.0,115.19999999999985,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.5,4,0.0,84.79999999999995,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.5,4,0.0,54.40000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.5,4,0.0,24.000000000000004,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.6000000000000005,4,0.0,116.79999999999984,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.6000000000000005,4,0.0,86.39999999999995,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.6000000000000005,4,0.0,56.00000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.6000000000000005,4,0.0,25.600000000000005,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.7,4,0.0,118.39999999999984,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.7,4,0.0,87.99999999999994,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.7,4,0.0,57.60000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.7,4,0.0,27.200000000000006,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.800000000000001,4,0.0,119.99999999999983,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.800000000000001,4,0.0,89.59999999999994,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.800000000000001,4,0.0,59.20000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.800000000000001,4,0.0,28.800000000000008,16.0,57.6,0.0,5.7,1.7,0.0,2
1,7.9,4,0.0,121.59999999999982,16.0,57.6,0.0,5.7,1.7,0.0,2
2,7.9,4,0.0,91.19999999999993,16.0,57.6,0.0,5.7,1.7,0.0,2
3,7.9,4,0.0,60.80000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
4,7.9,4,0.0,30.40000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.0,4,0.0,0.0,16,57.6,0.0,5.7,1.7,0.0,2
1,8.1,4,0.0,123.19999999999982,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.1,4,0.0,92.79999999999993,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.1,4,0.0,62.400000000000034,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.1,4,0.0,32.00000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.1,4,0.0,1.6,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.200000000000001,4,0.0,124.79999999999981,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.200000000000001,4,0.0,94.39999999999992,16.0,57.6,0.0,5.7,1.7,0.0,2
